baseline	k	label	seeds	observed_label_rows_mean	observed_label_rows_sd	observed_label_rows_min	observed_label_rows_q05	observed_label_rows_median	observed_label_rows_q95	observed_label_rows_max	recall_mean	recall_sd	fraction_mean	fraction_sd
high_mismatch_random_ties	100	BE_positive	30	0.1333333333333333	0.3457459036417604	0	0.0	0.0	1.0	1	3.5631569570639586e-05	9.239601914531276e-05	0.0013333333333333	0.0034574590364176
high_mismatch_random_ties	100	CRISPRoffT_negative	30	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
high_mismatch_random_ties	100	CRISPRoffT_positive	30	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
high_mismatch_random_ties	100	TOPO_positive	30	0.8666666666666667	0.8603661343041528	0	0.0	1.0	2.0	3	4.010117835770251e-05	3.980964900537445e-05	0.0086666666666666	0.0086036613430415
high_mismatch_random_ties	100	all_positive	30	1.0	0.9097176522946842	0	0.0	1.0	2.549999999999997	3	3.928192638566996e-05	3.573546184918427e-05	0.01	0.0090971765229468
high_mismatch_random_ties	100	any_assay_labeled	30	6.166666666666667	2.692048743388873	2	3.0	6.0	10.0	15	3.92708777784146e-05	1.7143640622998763e-05	0.0616666666666666	0.0269204874338887
high_mismatch_random_ties	500	BE_positive	30	0.7333333333333333	0.784915252764901	0	0.0	1.0	2.0	3	0.0001959736326385	0.0002097582182696	0.0014666666666666	0.0015698305055298
high_mismatch_random_ties	500	CRISPRoffT_negative	30	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
high_mismatch_random_ties	500	CRISPRoffT_positive	30	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
high_mismatch_random_ties	500	TOPO_positive	30	5.266666666666667	2.448551061107482	1	1.4500000000000002	5.0	8.0	12	0.0002436917761737	0.0001132959032531	0.0105333333333333	0.0048971021222149
high_mismatch_random_ties	500	all_positive	30	6.0	2.47748482023256	2	2.0	6.0	9.549999999999995	12	0.000235691558314	9.732037632999016e-05	0.012	0.0049549696404651
high_mismatch_random_ties	500	any_assay_labeled	30	31.266666666666666	6.658845987485929	17	20.45	31.0	41.55	45	0.0001991139640873	4.240519895997511e-05	0.0625333333333333	0.0133176919749718
high_mismatch_random_ties	1000	BE_positive	30	1.6	1.2205143065174588	0	0.0	1.5	4.0	4	0.0004275788348476	0.0003261663031847	0.0016	0.0012205143065174
high_mismatch_random_ties	1000	CRISPRoffT_negative	30	0.0333333333333333	0.1825741858350553	0	0.0	0.0	0.0	1	6.68002672010688e-05	0.0003658801319339	3.3333333333333335e-05	0.000182574185835
high_mismatch_random_ties	1000	CRISPRoffT_positive	30	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
high_mismatch_random_ties	1000	TOPO_positive	30	10.666666666666666	3.0998702234607904	5	6.0	11.0	15.0	16	0.0004935529644024	0.0001434328254423	0.0106666666666666	0.0030998702234607
high_mismatch_random_ties	1000	all_positive	30	12.266666666666667	3.4233814029238783	5	7.0	13.0	17.0	18	0.0004818582969975	0.0001344770162597	0.0122666666666666	0.0034233814029238
high_mismatch_random_ties	1000	any_assay_labeled	30	62.63333333333333	7.976185819668762	49	50.0	61.5	76.29999999999998	79	0.0003988647532196	5.079434893980579e-05	0.0626333333333333	0.0079761858196687
high_mismatch_random_ties	5000	BE_positive	30	8.066666666666666	2.8276142415206813	3	4.45	8.0	12.0	15	0.0021557099590236	0.0007556425017425	0.0016133333333333	0.0005655228483041
high_mismatch_random_ties	5000	CRISPRoffT_negative	30	0.5333333333333333	0.8995528902176073	0	0.0	0.0	2.0	4	0.0010688042752171	0.0018027112028408	0.0001066666666666	0.0001799105780435
high_mismatch_random_ties	5000	CRISPRoffT_positive	30	0.0666666666666666	0.2537081317024625	0	0.0	0.0	0.5499999999999972	1	0.0006472491909385	0.0024631857446841	1.3333333333333332e-05	5.0741626340492486e-05
high_mismatch_random_ties	5000	TOPO_positive	30	51.5	7.366045118627442	37	38.45	52.0	60.55	62	0.0023829354062557	0.0003408312566457	0.0103	0.0014732090237254
high_mismatch_random_ties	5000	all_positive	30	59.63333333333333	8.71970947528261	42	43.9	61.5	69.55	72	0.0023425122101321	0.0003425269857124	0.0119266666666666	0.0017439418950565
high_mismatch_random_ties	5000	any_assay_labeled	30	301.26666666666665	15.436037845503488	265	277.35	301.0	326.04999999999995	336	0.0019185415857368	9.830055496439184e-05	0.0602533333333333	0.0030872075691006
high_mismatch_random_ties	10000	BE_positive	30	15.966666666666669	3.178411372144065	11	12.0	15.0	21.0	24	0.004266880456084	0.0008493883944799	0.0015966666666666	0.0003178411372144
high_mismatch_random_ties	10000	CRISPRoffT_negative	30	0.9333333333333332	1.0806553992619583	0	0.0	1.0	3.0999999999999943	4	0.0018704074816299	0.0021656420826892	9.333333333333332e-05	0.0001080655399261
high_mismatch_random_ties	10000	CRISPRoffT_positive	30	0.1	0.3051285766293646	0	0.0	0.0	1.0	1	0.0009708737864077	0.0029624133653336	1e-05	3.0512857662936468e-05
high_mismatch_random_ties	10000	TOPO_positive	30	100.6	8.692446185605936	80	91.0	102.5	115.0	117	0.004654821395521	0.0004022046171389	0.01006	0.0008692446185605
high_mismatch_random_ties	10000	all_positive	30	116.66666666666669	9.488044503781964	92	105.0	117.0	130.55	131	0.0045828914116614	0.0003727086657415	0.0116666666666666	0.0009488044503781
high_mismatch_random_ties	10000	any_assay_labeled	30	597.7333333333333	19.09311725299935	544	571.35	598.5	626.1	630	0.0038065155693109	0.0001215897525488	0.0597733333333333	0.0019093117252999
high_mismatch_random_ties	50000	BE_positive	30	76.3	8.5102372429348	59	63.9	76.0	88.19999999999999	98	0.0203901656867985	0.002274248327882	0.001526	0.0001702047448586
high_mismatch_random_ties	50000	CRISPRoffT_negative	30	4.033333333333333	2.059181848467364	0	2.0	4.0	7.649999999999991	9	0.0080828323313293	0.0041266169307963	8.066666666666667e-05	4.1183636969347285e-05
high_mismatch_random_ties	50000	CRISPRoffT_positive	30	0.3333333333333333	0.4794633014853841	0	0.0	0.0	1.0	1	0.0032362459546925	0.0046549835095668	6.666666666666667e-06	9.589266029707683e-06
high_mismatch_random_ties	50000	TOPO_positive	30	507.03333333333336	20.727265623566566	457	472.85	508.0	536.65	538	0.0234607316922697	0.0009590628180439	0.0101406666666666	0.0004145453124713
high_mismatch_random_ties	50000	all_positive	30	583.6666666666666	20.21152510639502	538	545.8	586.5	614.1	615	0.0229275510337693	0.0007939476413715	0.0116733333333333	0.0004042305021279
high_mismatch_random_ties	50000	any_assay_labeled	30	2987.4666666666667	45.06832616137977	2920	2920.9	2984.5	3059.4	3124	0.0190249359460142	0.0002870063883829	0.0597493333333333	0.0009013665232275
high_mismatch_random_ties	100000	BE_positive	30	153.7	9.58500984835714	136	138.0	156.0	166.1	173	0.0410742918225547	0.0025614670893525	0.001537	9.585009848357144e-05
high_mismatch_random_ties	100000	CRISPRoffT_negative	30	9.7	2.6800669060099334	5	6.0	9.5	14.0	14	0.019438877755511	0.0053708755631461	9.7e-05	2.6800669060099326e-05
high_mismatch_random_ties	100000	CRISPRoffT_positive	30	0.7	0.7022132498578064	0	0.0	1.0	2.0	2	0.0067961165048543	0.0068176043675515	7e-06	7.022132498578064e-06
high_mismatch_random_ties	100000	TOPO_positive	30	1009.8666666666668	33.34432002846839	907	954.95	1011.5	1052.65	1056	0.0467271269048059	0.0015428613746283	0.0100986666666666	0.0003334432002846
high_mismatch_random_ties	100000	all_positive	30	1164.2666666666669	36.021002813333254	1065	1101.65	1172.0	1213.3	1229	0.0457346374932893	0.0014149743808513	0.0116426666666666	0.0003602100281333
high_mismatch_random_ties	100000	any_assay_labeled	30	5962.3	68.08015053267522	5803	5857.3	5962.5	6041.25	6154	0.0379694196613364	0.0004335514493034	0.059623	0.0006808015053267
low_mismatch_random_ties	100	BE_positive	30	3.633333333333333	1.3256965204630415	1	1.4500000000000002	4.0	6.0	6	0.0009709602707999	0.0003542748584882	0.0363333333333333	0.0132569652046304
