label	rows	observed_label_rows	observed_label_fraction	recall_of_observed_label	guides_with_label	baseline	k	candidate_scope
all_positive	100	15	0.15	0.000589228895785	15	low_mismatch_first_stable_tiebreak	100	global_topk
TOPO_positive	100	3	0.03	0.0001388117712382	3	low_mismatch_first_stable_tiebreak	100	global_topk
BE_positive	100	4	0.04	0.0010689470871191	4	low_mismatch_first_stable_tiebreak	100	global_topk
CRISPRoffT_positive	100	8	0.08	0.0776699029126213	8	low_mismatch_first_stable_tiebreak	100	global_topk
CRISPRoffT_negative	100	0	0.0	0.0	0	low_mismatch_first_stable_tiebreak	100	global_topk
any_assay_labeled	100	30	0.3	0.0001910475135166	30	low_mismatch_first_stable_tiebreak	100	global_topk
all_positive	500	29	0.058	0.0011391758651844	29	low_mismatch_first_stable_tiebreak	500	global_topk
TOPO_positive	500	6	0.012	0.0002776235424764	6	low_mismatch_first_stable_tiebreak	500	global_topk
BE_positive	500	10	0.02	0.0026723677177979	10	low_mismatch_first_stable_tiebreak	500	global_topk
CRISPRoffT_positive	500	13	0.026	0.1262135922330097	13	low_mismatch_first_stable_tiebreak	500	global_topk
CRISPRoffT_negative	500	1	0.002	0.002004008016032	1	low_mismatch_first_stable_tiebreak	500	global_topk
any_assay_labeled	500	70	0.14	0.0004457775315387	66	low_mismatch_first_stable_tiebreak	500	global_topk
all_positive	1000	43	0.043	0.0016891228345838	30	low_mismatch_first_stable_tiebreak	1000	global_topk
TOPO_positive	1000	8	0.008	0.0003701647233018	6	low_mismatch_first_stable_tiebreak	1000	global_topk
BE_positive	1000	16	0.016	0.0042757883484767	10	low_mismatch_first_stable_tiebreak	1000	global_topk
CRISPRoffT_positive	1000	19	0.019	0.1844660194174757	14	low_mismatch_first_stable_tiebreak	1000	global_topk
CRISPRoffT_negative	1000	2	0.002	0.0040080160320641	2	low_mismatch_first_stable_tiebreak	1000	global_topk
any_assay_labeled	1000	202	0.202	0.0012863865910118	68	low_mismatch_first_stable_tiebreak	1000	global_topk
all_positive	5000	192	0.0384	0.0075421298660486	31	low_mismatch_first_stable_tiebreak	5000	global_topk
TOPO_positive	5000	75	0.015	0.003470294280955	6	low_mismatch_first_stable_tiebreak	5000	global_topk
BE_positive	5000	77	0.0154	0.0205772314270443	11	low_mismatch_first_stable_tiebreak	5000	global_topk
CRISPRoffT_positive	5000	40	0.008	0.3883495145631068	14	low_mismatch_first_stable_tiebreak	5000	global_topk
CRISPRoffT_negative	5000	55	0.011	0.1102204408817635	13	low_mismatch_first_stable_tiebreak	5000	global_topk
any_assay_labeled	5000	2081	0.4162	0.0132523291876022	71	low_mismatch_first_stable_tiebreak	5000	global_topk
all_positive	10000	305	0.0305	0.0119809875476293	31	low_mismatch_first_stable_tiebreak	10000	global_topk
TOPO_positive	10000	150	0.015	0.00694058856191	6	low_mismatch_first_stable_tiebreak	10000	global_topk
BE_positive	10000	112	0.0112	0.0299305184393372	11	low_mismatch_first_stable_tiebreak	10000	global_topk
CRISPRoffT_positive	10000	43	0.0043	0.4174757281553398	14	low_mismatch_first_stable_tiebreak	10000	global_topk
CRISPRoffT_negative	10000	69	0.0069	0.1382765531062124	13	low_mismatch_first_stable_tiebreak	10000	global_topk
any_assay_labeled	10000	3611	0.3611	0.0229957523769494	71	low_mismatch_first_stable_tiebreak	10000	global_topk
all_positive	50000	1325	0.0265	0.0520485524610126	33	low_mismatch_first_stable_tiebreak	50000	global_topk
TOPO_positive	50000	874	0.01748	0.0404404960207292	6	low_mismatch_first_stable_tiebreak	50000	global_topk
BE_positive	50000	373	0.00746	0.0996793158738642	11	low_mismatch_first_stable_tiebreak	50000	global_topk
CRISPRoffT_positive	50000	78	0.00156	0.7572815533980582	16	low_mismatch_first_stable_tiebreak	50000	global_topk
CRISPRoffT_negative	50000	214	0.00428	0.4288577154308617	15	low_mismatch_first_stable_tiebreak	50000	global_topk
any_assay_labeled	50000	15362	0.30724	0.0978290634214062	75	low_mismatch_first_stable_tiebreak	50000	global_topk
all_positive	100000	2241	0.02241	0.0880307970302863	33	low_mismatch_first_stable_tiebreak	100000	global_topk
TOPO_positive	100000	1635	0.01635	0.0756524153248195	6	low_mismatch_first_stable_tiebreak	100000	global_topk
BE_positive	100000	527	0.00527	0.1408337787279529	11	low_mismatch_first_stable_tiebreak	100000	global_topk
CRISPRoffT_positive	100000	79	0.00079	0.7669902912621359	16	low_mismatch_first_stable_tiebreak	100000	global_topk
CRISPRoffT_negative	100000	231	0.00231	0.4629258517034068	15	low_mismatch_first_stable_tiebreak	100000	global_topk
any_assay_labeled	100000	23317	0.23317	0.148488495755561	76	low_mismatch_first_stable_tiebreak	100000	global_topk
all_positive	100	3	0.03	0.000117845779157	3	high_mismatch_first_stable_tiebreak	100	global_topk
TOPO_positive	100	3	0.03	0.0001388117712382	3	high_mismatch_first_stable_tiebreak	100	global_topk
BE_positive	100	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	100	global_topk
CRISPRoffT_positive	100	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	100	global_topk
CRISPRoffT_negative	100	0	0.0	0.0	0	high_mismatch_first_stable_tiebreak	100	global_topk
any_assay_labeled	100	11	0.11	7.005075495609091e-05	8	high_mismatch_first_stable_tiebreak	100	global_topk
all_positive	500	7	0.014	0.0002749734846996	7	high_mismatch_first_stable_tiebreak	500	global_topk
TOPO_positive	500	5	0.01	0.0002313529520636	5	high_mismatch_first_stable_tiebreak	500	global_topk
