guide_fold	primary_guide_family	guides	candidate_rows	positive_rows	topo_positive_rows	be_positive_rows	conventional_positive_rows	conventional_negative_rows
0	BE	2	18712	315	0	315	0	0
0	CRISPRoffT	4	42393	8	0	0	8	85
0	TOPO	1	11703	7110	7110	0	0	0
0	other_labeled	9	238228	0	0	0	0	0
0	unlabeled_only	3	35899	0	0	0	0	0
1	BE	2	18825	506	0	506	0	0
1	CRISPRoffT	4	40530	4	0	0	4	100
1	TOPO	1	10327	6862	6862	0	0	0
1	other_labeled	9	214403	0	0	0	0	0
1	unlabeled_only	3	38411	0	0	0	0	0
2	BE	3	44723	699	0	699	0	0
2	CRISPRoffT	5	75848	47	0	0	47	113
2	TOPO	1	15808	2365	2365	0	0	0
2	other_labeled	10	360925	0	0	0	0	0
2	unlabeled_only	4	59106	0	0	0	0	0
3	BE	2	31809	1610	0	1610	0	0
3	CRISPRoffT	4	66843	5	0	0	5	102
3	TOPO	1	7701	2358	2358	0	0	0
3	other_labeled	9	166750	0	0	0	0	0
3	unlabeled_only	3	46627	0	0	0	0	0
4	BE	2	24139	612	0	612	0	0
4	CRISPRoffT	4	59387	39	0	0	39	99
4	TOPO	2	33114	2917	2917	0	0	0
4	other_labeled	9	246704	0	0	0	0	0
4	unlabeled_only	3	52312	0	0	0	0	0
