guide_id	candidate_rows	labeled_rows	positive_rows	topo_positive_rows	be_positive_rows	conventional_positive_rows	conventional_negative_rows	strict_panel_rows	core96_rows	primary_guide_family	family_order	guide_fold
g_7a245591ea3dc362	7385	693	293	0	293	0	0	9	3	BE	1	0
g_ac1ee0e5135749d6	11327	22	22	0	22	0	0	6	2	BE	1	0
g_1f9fd37d684e5ab0	11698	1	0	0	0	0	1	3	0	CRISPRoffT	2	0
g_adb9102cd9b057aa	5800	13	1	0	0	1	1	1	0	CRISPRoffT	2	0
g_ca902654800bfcae	11994	35	7	0	0	7	27	6	2	CRISPRoffT	2	0
g_f5b85214ed064bf5	12901	56	0	0	0	0	56	3	1	CRISPRoffT	2	0
g_fb5a90a5ced31c1d	11703	7110	7110	7110	0	0	0	17	5	TOPO	0	0
g_20c96aeb2522fa3c	26854	1022	0	0	0	0	0	1	0	other_labeled	3	0
g_6230f4fa3fc0fabf	21650	1282	0	0	0	0	0	3	1	other_labeled	3	0
g_775e49d2a79fa61d	42478	5130	0	0	0	0	0	7	2	other_labeled	3	0
g_7975881405f346e3	31745	973	0	0	0	0	0	3	1	other_labeled	3	0
g_7c334f01321a68fe	40847	1677	0	0	0	0	0	3	1	other_labeled	3	0
g_8f4041c9a9018acb	17992	2	0	0	0	0	0	2	0	other_labeled	3	0
g_932fd1ff338a8746	5253	328	0	0	0	0	0	0	0	other_labeled	3	0
g_b7cdfe7efe482690	9313	1	0	0	0	0	0	0	0	other_labeled	3	0
g_bfea4abcd8a5240d	42096	2582	0	0	0	0	0	2	0	other_labeled	3	0
g_227af68366ec5548	5551	0	0	0	0	0	0	0	0	unlabeled_only	4	0
g_b0c77b79484905a2	19265	0	0	0	0	0	0	2	1	unlabeled_only	4	0
g_b7d3f23108a33ac8	11083	0	0	0	0	0	0	0	0	unlabeled_only	4	0
g_6aa122ddddeb5057	11693	696	469	0	469	0	0	10	2	BE	1	1
g_80e2db09ddcfa402	7132	37	37	0	37	0	0	6	2	BE	1	1
g_1ba2b9640293eb2e	2993	12	1	0	0	1	4	1	0	CRISPRoffT	2	1
g_61ca3c42be533c83	6897	70	2	0	0	2	60	7	3	CRISPRoffT	2	1
g_c659dadde9bf6d59	12393	36	1	0	0	1	35	6	1	CRISPRoffT	2	1
